TaxonomicName,CatalogueNumber,Clade,Order,Family,Genus,FullName,VernacularName,Habit,LeafArrangement,LeafForm,LeafVenation,LeafMargin,Stipules,Exudate
Schizenterospermum rotundifolium,K000033438,Eudicots-Asterids,Lamiales,Bignoniaceae,Schizenterospermum,Schizenterospermum rotundifolium Homolle ex Arènes ,,tree,,,,,,
Psychotria berizokae,K000033971,Eudicots-Asterids,Gentianales,Rubiaceae,Psychotria,Psychotria berizokae (Bremek.) A.P. Davis & Govaerts ,,,,,,,,
Schizenterospermum rotundifolium,K000033977,Eudicots-Asterids,Lamiales,Bignoniaceae,Schizenterospermum,Schizenterospermum rotundifolium Homolle ex Arènes ,,tree,,,,,,
Paederia bojeriana,K000034252,Eudicots-Asterids,Gentianales,Rubiaceae,Paederia,Paederia bojeriana (A. Rich. ex DC.) Drake ,,climber,,,,,,
Triainolepis opaca,K000034330,Eudicots-Asterids,Gentianales,Rubiaceae,Triainolepis,Triainolepis opaca Bremek. ,,shrub,,,,,,
Coptosperma mitochondrioides,K000034371,Eudicots-Asterids,Gentianales,Rubiaceae,Coptosperma,Coptosperma mitochondrioides Mouly & De Block ,,tree,,,,,,
Psychotria berizokae,K000034429,Eudicots-Asterids,Gentianales,Rubiaceae,Psychotria,Psychotria berizokae (Bremek.) A.P. Davis & Govaerts ,,,,,,,,
Homollea longiflora,K000034473,Eudicots-Asterids,Gentianales,Rubiaceae,Homollea,Homollea longiflora Arènes ,,shrub,,,,,,
Homollea longiflora,K000034474,Eudicots-Asterids,Gentianales,Rubiaceae,Homollea,Homollea longiflora Arènes ,,shrub,,,,,,
Homollea longiflora,K000034475,Eudicots-Asterids,Gentianales,Rubiaceae,Homollea,Homollea longiflora Arènes ,,shrub,,,,,,
Psychotria boenyana,K000034543,Eudicots-Asterids,Gentianales,Rubiaceae,Psychotria,Psychotria boenyana (Bremek.) A.P. Davis & Govaerts ,,,,,,,,
Psychotria boenyana,K000034574,Eudicots-Asterids,Gentianales,Rubiaceae,Psychotria,Psychotria boenyana (Bremek.) A.P. Davis & Govaerts ,,,,,,,,
Breonia perrieri,K000034666,Eudicots-Asterids,Gentianales,Rubiaceae,Breonia,Breonia perrieri Homolle ,,tree,,,,,,
Breonia perrieri,K000034922,Eudicots-Asterids,Gentianales,Rubiaceae,Breonia,Breonia perrieri Homolle ,,tree,,,,,,
Polycardia lateralis,K000035954,Eudicots-Rosids,Celastrales,Celastraceae,Polycardia,Polycardia lateralis O. Hoffm. ,,,,,,,,
Polycardia lateralis,K000035955,Eudicots-Rosids,Celastrales,Celastraceae,Polycardia,Polycardia lateralis O. Hoffm. ,,,,,,,,
Polycardia lateralis,K000035956,Eudicots-Rosids,Celastrales,Celastraceae,Polycardia,Polycardia lateralis O. Hoffm. ,,,,,,,,
Operculicarya gummifera,K000037313,Eudicots-Rosids,Sapindales,Anacardiaceae,Operculicarya,Operculicarya gummifera (Sprague) Capuron ,,tree,,,,,,
Operculicarya gummifera,K000037313_a,Eudicots-Rosids,Sapindales,Anacardiaceae,Operculicarya,Operculicarya gummifera (Sprague) Capuron ,,tree,,,,,,
Psychotria berizokae,K000045577,Eudicots-Asterids,Gentianales,Rubiaceae,Psychotria,Psychotria berizokae (Bremek.) A.P. Davis & Govaerts ,,,,,,,,
Psychotria berizokae,K000045578,Eudicots-Asterids,Gentianales,Rubiaceae,Psychotria,Psychotria berizokae (Bremek.) A.P. Davis & Govaerts ,,,,,,,,
Psychotria berizokae,K000045579,Eudicots-Asterids,Gentianales,Rubiaceae,Psychotria,Psychotria berizokae (Bremek.) A.P. Davis & Govaerts ,,,,,,,,
Psychotria boenyana,K000045698,Eudicots-Asterids,Gentianales,Rubiaceae,Psychotria,Psychotria boenyana (Bremek.) A.P. Davis & Govaerts ,,,,,,,,
Psychotria boenyana,K000045699,Eudicots-Asterids,Gentianales,Rubiaceae,Psychotria,Psychotria boenyana (Bremek.) A.P. Davis & Govaerts ,,,,,,,,
Psychotria boenyana,K000045700,Eudicots-Asterids,Gentianales,Rubiaceae,Psychotria,Psychotria boenyana (Bremek.) A.P. Davis & Govaerts ,,,,,,,,
Breonia perrieri,K000046325,Eudicots-Asterids,Gentianales,Rubiaceae,Breonia,Breonia perrieri Homolle ,,tree,,,,,,
Breonia perrieri,K000046326,Eudicots-Asterids,Gentianales,Rubiaceae,Breonia,Breonia perrieri Homolle ,,tree,,,,,,
Breonia perrieri,K000046327,Eudicots-Asterids,Gentianales,Rubiaceae,Breonia,Breonia perrieri Homolle ,,tree,,,,,,
Gaertnera nitida,K000047285,Eudicots-Asterids,Gentianales,Loganiaceae,Gaertnera,Gaertnera nitida C.M. Taylor ,,,,,,,,
Gaertnera nitida,K000047286,Eudicots-Asterids,Gentianales,Loganiaceae,Gaertnera,Gaertnera nitida C.M. Taylor ,,,,,,,,
Paederia bojeriana,K000047446,Eudicots-Asterids,Gentianales,Rubiaceae,Paederia,Paederia bojeriana (A. Rich. ex DC.) Drake ,,climber,,,,,,
Dioscorea soso,K000062159,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea soso Jum. & H. Perrier ,,herb,,,,,,
Dioscorea soso,K000062160,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea soso Jum. & H. Perrier ,,herb,,,,,,
Dioscorea soso,K000062162,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea soso Jum. & H. Perrier ,,herb,,,,,,
Dioscorea soso,K000062163,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea soso Jum. & H. Perrier ,,herb,,,,,,
Dioscorea soso,K000062164,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea soso Jum. & H. Perrier ,,herb,,,,,,
Clematis ibarensis,K000076029,Eudicots-Basal,Ranunculales,Ranunculaceae,Clematis,Clematis ibarensis Baker ,,climber,,,,,,
Clematis ibarensis,K000076030,Eudicots-Basal,Ranunculales,Ranunculaceae,Clematis,Clematis ibarensis Baker ,,climber,,,,,,
Oeceoclades calcarata,K000078294,Monocots,Asparagales,Orchidaceae,Oeceoclades,Oeceoclades calcarata (Schltr.) Garay & P. Taylor ,,,,,,,,
Oeceoclades calcarata,K000078295,Monocots,Asparagales,Orchidaceae,Oeceoclades,Oeceoclades calcarata (Schltr.) Garay & P. Taylor ,,,,,,,,
Stictocardia beraviensis,K000097044,Eudicots-Asterids,Solanales,Convolvulaceae,Stictocardia,Stictocardia beraviensis (Vatke) Hallier f. ,,climber,,,,,,
Stictocardia beraviensis,K000097045,Eudicots-Asterids,Solanales,Convolvulaceae,Stictocardia,Stictocardia beraviensis (Vatke) Hallier f. ,,climber,,,,,,
Dioscorea bemarivensis,K000098645,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea bemarivensis Jum. & H. Perrier ,,climber;herb,,,,,,
Dioscorea bemarivensis,K000098645-868094,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea bemarivensis Jum. & H. Perrier ,,climber;herb,,,,,,
Dioscorea bemarivensis,K000098646,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea bemarivensis Jum. & H. Perrier ,,climber;herb,,,,,,
Dioscorea bemarivensis,K000098647,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea bemarivensis Jum. & H. Perrier ,,climber;herb,,,,,,
Dioscorea bemarivensis,K000098647-868096,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea bemarivensis Jum. & H. Perrier ,,climber;herb,,,,,,
Dioscorea bemarivensis,K000098648,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea bemarivensis Jum. & H. Perrier ,,climber;herb,,,,,,
Dioscorea bemarivensis,K000098648-868098,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea bemarivensis Jum. & H. Perrier ,,climber;herb,,,,,,
Grangeria porosa,K000103240,Eudicots-Rosids,Malpighiales,Chrysobalanaceae,Grangeria,Grangeria porosa Boivin ex Baill. ,,shrub;tree,,,,,,
Grangeria porosa,K000103241,Eudicots-Rosids,Malpighiales,Chrysobalanaceae,Grangeria,Grangeria porosa Boivin ex Baill. ,,shrub;tree,,,,,,
Grangeria porosa,K000103242,Eudicots-Rosids,Malpighiales,Chrysobalanaceae,Grangeria,Grangeria porosa Boivin ex Baill. ,,shrub;tree,,,,,,
Grangeria porosa,K000103243,Eudicots-Rosids,Malpighiales,Chrysobalanaceae,Grangeria,Grangeria porosa Boivin ex Baill. ,,shrub;tree,,,,,,
Grangeria porosa,K000103244,Eudicots-Rosids,Malpighiales,Chrysobalanaceae,Grangeria,Grangeria porosa Boivin ex Baill. ,,shrub;tree,,,,,,
Homollea longiflora,K000175027,Eudicots-Asterids,Gentianales,Rubiaceae,Homollea,Homollea longiflora Arènes ,,shrub,,,,,,
Hyperacanthus perrieri,K000175028,Eudicots-Asterids,Gentianales,Rubiaceae,Hyperacanthus,Hyperacanthus perrieri (Drake) Rakotonas. & A.P. Davis ,,shrub;tree,,,,,,
Hyperacanthus perrieri,K000175029,Eudicots-Asterids,Gentianales,Rubiaceae,Hyperacanthus,Hyperacanthus perrieri (Drake) Rakotonas. & A.P. Davis ,,shrub;tree,,,,,,
Hyperacanthus perrieri,K000175035,Eudicots-Asterids,Gentianales,Rubiaceae,Hyperacanthus,Hyperacanthus perrieri (Drake) Rakotonas. & A.P. Davis ,,shrub;tree,,,,,,
Hyperacanthus perrieri,K000175037,Eudicots-Asterids,Gentianales,Rubiaceae,Hyperacanthus,Hyperacanthus perrieri (Drake) Rakotonas. & A.P. Davis ,,shrub;tree,,,,,,
Ixora cremixora,K000175046,Eudicots-Asterids,Gentianales,Rubiaceae,Ixora,Ixora cremixora Drake ,,tree,,,,,,
Ixora cremixora,K000175047,Eudicots-Asterids,Gentianales,Rubiaceae,Ixora,Ixora cremixora Drake ,,tree,,,,,,
Tricalysia perrieri,K000175108,Eudicots-Asterids,Gentianales,Rubiaceae,Tricalysia,Tricalysia perrieri Homolle ex Randriamb. & De Block ,,shrub;tree,,,,,,
Hyperacanthus perrieri,K000175344,Eudicots-Asterids,Gentianales,Rubiaceae,Hyperacanthus,Hyperacanthus perrieri (Drake) Rakotonas. & A.P. Davis ,,shrub;tree,,,,,,
Gaertnera nitida,K000175461,Eudicots-Asterids,Gentianales,Loganiaceae,Gaertnera,Gaertnera nitida C.M. Taylor ,,,,,,,,
Gaertnera nitida,K000175461_a,Eudicots-Asterids,Gentianales,Loganiaceae,Gaertnera,Gaertnera nitida C.M. Taylor ,,,,,,,,
Coffea pervilleana,K000175473,Eudicots-Asterids,Gentianales,Rubiaceae,Coffea,Coffea pervilleana (Baill.) Drake ,,shrub,,,,,,
Astiella latifolia,K000175702,Eudicots-Asterids,Gentianales,Rubiaceae,Astiella,Astiella latifolia Groeninckx ,,,,,,,,
Astiella latifolia,K000175703,Eudicots-Asterids,Gentianales,Rubiaceae,Astiella,Astiella latifolia Groeninckx ,,,,,,,,
Astiella latifolia,K000175704,Eudicots-Asterids,Gentianales,Rubiaceae,Astiella,Astiella latifolia Groeninckx ,,,,,,,,
Pyrostria bibracteata,K000175799,Eudicots-Asterids,Gentianales,Rubiaceae,Pyrostria,Pyrostria bibracteata (Baker) Cavaco ,,shrub;tree,,,,,,
Paracarphalea kirondron,K000175853,Eudicots-Asterids,Gentianales,Rubiaceae,Paracarphalea,"Paracarphalea kirondron (Baill.) Razafim., Ferm, B. Bremer & Kårehed ",,Species,,,,,,
Psydrax occidentalis,K000175901,Eudicots-Asterids,Gentianales,Rubiaceae,Psydrax,Psydrax occidentalis (Cavaco) A.P. Davis & Bridson ,,,,,,,,
Pyrostria richardiae,K000176025,Eudicots-Asterids,Gentianales,Rubiaceae,Pyrostria,"Pyrostria richardiae (Cavaco) Razafim., Lantz & B. Bremer ",,,,,,,,
Pyrostria richardiae,K000176026,Eudicots-Asterids,Gentianales,Rubiaceae,Pyrostria,"Pyrostria richardiae (Cavaco) Razafim., Lantz & B. Bremer ",,,,,,,,
Tricalysia madagascariensis,K000176217,Eudicots-Asterids,Gentianales,Rubiaceae,Tricalysia,Tricalysia madagascariensis (Drake ex Dubard) A. Chev. ,,shrub;tree,,,,,,
Coffea bissetiae,K000176283,Eudicots-Asterids,Gentianales,Rubiaceae,Coffea,Coffea bissetiae A.P. Davis & Rakotonas. ,,shrub;tree,,,,,,
Coffea bissetiae,K000176289,Eudicots-Asterids,Gentianales,Rubiaceae,Coffea,Coffea bissetiae A.P. Davis & Rakotonas. ,,shrub;tree,,,,,,
Coffea boinensis,K000176290,Eudicots-Asterids,Gentianales,Rubiaceae,Coffea,Coffea boinensis A.P. Davis & Rakotonas. ,,shrub;tree,,,,,,
Coffea bissetiae,K000176292,Eudicots-Asterids,Gentianales,Rubiaceae,Coffea,Coffea bissetiae A.P. Davis & Rakotonas. ,,shrub;tree,,,,,,
Coffea bissetiae,K000176293,Eudicots-Asterids,Gentianales,Rubiaceae,Coffea,Coffea bissetiae A.P. Davis & Rakotonas. ,,shrub;tree,,,,,,
Coffea bissetiae,K000176294,Eudicots-Asterids,Gentianales,Rubiaceae,Coffea,Coffea bissetiae A.P. Davis & Rakotonas. ,,shrub;tree,,,,,,
Coffea boinensis,K000176296,Eudicots-Asterids,Gentianales,Rubiaceae,Coffea,Coffea boinensis A.P. Davis & Rakotonas. ,,shrub;tree,,,,,,
Coffea boinensis,K000176297,Eudicots-Asterids,Gentianales,Rubiaceae,Coffea,Coffea boinensis A.P. Davis & Rakotonas. ,,shrub;tree,,,,,,
Coffea boinensis,K000176298,Eudicots-Asterids,Gentianales,Rubiaceae,Coffea,Coffea boinensis A.P. Davis & Rakotonas. ,,shrub;tree,,,,,,
Coffea boinensis,K000176300,Eudicots-Asterids,Gentianales,Rubiaceae,Coffea,Coffea boinensis A.P. Davis & Rakotonas. ,,shrub;tree,,,,,,
Polysphaeria capuronii,K000176396,Eudicots-Asterids,Gentianales,Rubiaceae,Polysphaeria,Polysphaeria capuronii Verdc. ,,shrub;tree,,,,,,
Polysphaeria capuronii,K000176397,Eudicots-Asterids,Gentianales,Rubiaceae,Polysphaeria,Polysphaeria capuronii Verdc. ,,shrub;tree,,,,,,
Pyrostria richardiae,K000176505,Eudicots-Asterids,Gentianales,Rubiaceae,Pyrostria,"Pyrostria richardiae (Cavaco) Razafim., Lantz & B. Bremer ",,,,,,,,
Tricalysia perrieri,K000176596,Eudicots-Asterids,Gentianales,Rubiaceae,Tricalysia,Tricalysia perrieri Homolle ex Randriamb. & De Block ,,shrub;tree,,,,,,
Empogona ovalifolia,K000176761,Eudicots-Asterids,Gentianales,Rubiaceae,Empogona,Empogona ovalifolia (Hiern) Tosh & Robbr. ,,shrub;tree,,,,,,
Empogona ovalifolia,K000177196,Eudicots-Asterids,Gentianales,Rubiaceae,Empogona,Empogona ovalifolia (Hiern) Tosh & Robbr. ,,shrub;tree,,,,,,
Euphorbia pedilanthoides,K000185062,Eudicots-Rosids,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia pedilanthoides Denis ,,shrub,,,,,,
Euphorbia pedilanthoides,K000185067,Eudicots-Rosids,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia pedilanthoides Denis ,,shrub,,,,,,
Euphorbia pedilanthoides,K000185068,Eudicots-Rosids,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia pedilanthoides Denis ,,shrub,,,,,,
Euphorbia pedilanthoides,K000185069,Eudicots-Rosids,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia pedilanthoides Denis ,,shrub,,,,,,
Euphorbia viguieri,K000185251,Eudicots-Rosids,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia viguieri Denis ,,shrub,,,,,,
Euphorbia pedilanthoides,K000185252,Eudicots-Rosids,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia pedilanthoides Denis ,,shrub,,,,,,
Acalypha lamiana,K000186503,Eudicots-Rosids,Malpighiales,Euphorbiaceae,Acalypha,Acalypha lamiana Leandri ,,shrub,,,,,,
Clerodendrum involucratum,K000192966,Eudicots-Asterids,Lamiales,Lamiaceae,Clerodendrum,Clerodendrum involucratum Vatke ,,tree,,,,,,
Rauvolfia obtusiflora,K000197163,Eudicots-Asterids,Gentianales,Apocynaceae,Rauvolfia,Rauvolfia obtusiflora A. DC. ,,tree,,,,,,
Tabernaemontana coffeoides,K000197164,Eudicots-Asterids,Gentianales,Apocynaceae,Tabernaemontana,Tabernaemontana coffeoides Bojer ex A. DC. ,,shrub;tree,,,,,,
Mascarenhasia arborescens,K000197166,Eudicots-Asterids,Gentianales,Apocynaceae,Mascarenhasia,Mascarenhasia arborescens A. DC. ,,shrub;tree,,,,,,
Mascarenhasia arborescens,K000197166_a,Eudicots-Asterids,Gentianales,Apocynaceae,Mascarenhasia,Mascarenhasia arborescens A. DC. ,,shrub;tree,,,,,,
Mascarenhasia arborescens,K000197167,Eudicots-Asterids,Gentianales,Apocynaceae,Mascarenhasia,Mascarenhasia arborescens A. DC. ,,shrub;tree,,,,,,
Mascarenhasia arborescens,K000197168,Eudicots-Asterids,Gentianales,Apocynaceae,Mascarenhasia,Mascarenhasia arborescens A. DC. ,,shrub;tree,,,,,,
Cynanchum danguyanum,K000197169,Eudicots-Asterids,Gentianales,Apocynaceae,Cynanchum,Cynanchum danguyanum Choux ,,,,,,,,
Cynanchum danguyanum,K000197170,Eudicots-Asterids,Gentianales,Apocynaceae,Cynanchum,Cynanchum danguyanum Choux ,,,,,,,,
Hibiscus thespesianus,K000197335,Eudicots-Rosids,Malvales,Malvaceae,Hibiscus,Hibiscus thespesianus Baill. ,,tree,,,,,,
Vepris calcicola,K000199517,Eudicots-Rosids,Sapindales,Rutaceae,Vepris,Vepris calcicola H. Perrier ,,,,,,,,
Rhopalocarpus similis,K000199606,Eudicots-Rosids,Malvales,Sphaerosepalaceae,Rhopalocarpus,Rhopalocarpus similis Hemsl. ,,tree,,,,,,
Rhopalocarpus lucidus,K000199607,Eudicots-Rosids,Malvales,Sphaerosepalaceae,Rhopalocarpus,Rhopalocarpus lucidus Bojer ,,tree,,,,,,
Commiphora grandifolia,K000199707,Eudicots-Rosids,Sapindales,Burseraceae,Commiphora,Commiphora grandifolia Engl. ,,shrub;tree,,,,,,
Commiphora grandifolia,K000199708,Eudicots-Rosids,Sapindales,Burseraceae,Commiphora,Commiphora grandifolia Engl. ,,shrub;tree,,,,,,
Strychnos madagascariensis,K000211256,Eudicots-Asterids,Gentianales,Loganiaceae,Strychnos,Strychnos madagascariensis Poir. ,,tree,,,,,,
Strychnos madagascariensis,K000211257,Eudicots-Asterids,Gentianales,Loganiaceae,Strychnos,Strychnos madagascariensis Poir. ,,tree,,,,,,
Strychnos madagascariensis,K000211258,Eudicots-Asterids,Gentianales,Loganiaceae,Strychnos,Strychnos madagascariensis Poir. ,,tree,,,,,,
Strychnos madagascariensis,K000211259,Eudicots-Asterids,Gentianales,Loganiaceae,Strychnos,Strychnos madagascariensis Poir. ,,tree,,,,,,
Strychnos madagascariensis,K000211260,Eudicots-Asterids,Gentianales,Loganiaceae,Strychnos,Strychnos madagascariensis Poir. ,,tree,,,,,,
Strychnos madagascariensis,K000211260_a,Eudicots-Asterids,Gentianales,Loganiaceae,Strychnos,Strychnos madagascariensis Poir. ,,tree,,,,,,
Solanum erythracanthum,K000212358,Eudicots-Asterids,Solanales,Solanaceae,Solanum,Solanum erythracanthum Bojer ex Dunal ,,,,,,,,
Solanum erythracanthum,K000212359,Eudicots-Asterids,Solanales,Solanaceae,Solanum,Solanum erythracanthum Bojer ex Dunal ,,,,,,,,
Solanum erythracanthum,K000212360,Eudicots-Asterids,Solanales,Solanaceae,Solanum,Solanum erythracanthum Bojer ex Dunal ,,,,,,,,
Solanum erythracanthum,K000212361,Eudicots-Asterids,Solanales,Solanaceae,Solanum,Solanum erythracanthum Bojer ex Dunal ,,,,,,,,
Solanum erythracanthum,K000212362,Eudicots-Asterids,Solanales,Solanaceae,Solanum,Solanum erythracanthum Bojer ex Dunal ,,,,,,,,
Crotalaria pervillei,K000227279,Eudicots-Rosids,Fabales,Fabaceae,Crotalaria,Crotalaria pervillei Baill. ,,shrub,,,,,,
Crotalaria pervillei,K000227280,Eudicots-Rosids,Fabales,Fabaceae,Crotalaria,Crotalaria pervillei Baill. ,,shrub,,,,,,
Crotalaria pervillei,K000227281,Eudicots-Rosids,Fabales,Fabaceae,Crotalaria,Crotalaria pervillei Baill. ,,shrub,,,,,,
Crotalaria pervillei,K000227282,Eudicots-Rosids,Fabales,Fabaceae,Crotalaria,Crotalaria pervillei Baill. ,,shrub,,,,,,
Maerua cylindrocarpa,K000230883,Eudicots-Rosids,Brassicales,Capparaceae,Maerua,Maerua cylindrocarpa Hadj-Moust. ,,,,,,,,
Rinorea ilicifolia,K000231204,Eudicots-Rosids,Malpighiales,Violaceae,Rinorea,Rinorea ilicifolia (Welw. ex Oliv.) Kuntze ,,shrub;tree,,,,,,
Rinorea ilicifolia,K000231205,Eudicots-Rosids,Malpighiales,Violaceae,Rinorea,Rinorea ilicifolia (Welw. ex Oliv.) Kuntze ,,shrub;tree,,,,,,
Rinorea ilicifolia,K000231206,Eudicots-Rosids,Malpighiales,Violaceae,Rinorea,Rinorea ilicifolia (Welw. ex Oliv.) Kuntze ,,shrub;tree,,,,,,
Bivinia jalbertii,K000231358,Eudicots-Rosids,Malpighiales,Salicaceae,Bivinia,Bivinia jalbertii Tul. ,,shrub;tree,,,,,,
Bivinia jalbertii,K000231358a,Eudicots-Rosids,Malpighiales,Salicaceae,Bivinia,Bivinia jalbertii Tul. ,,shrub;tree,,,,,,
Bivinia jalbertii,K000231359,Eudicots-Rosids,Malpighiales,Salicaceae,Bivinia,Bivinia jalbertii Tul. ,,shrub;tree,,,,,,
Bivinia jalbertii,K000231359a,Eudicots-Rosids,Malpighiales,Salicaceae,Bivinia,Bivinia jalbertii Tul. ,,shrub;tree,,,,,,
Bivinia jalbertii,K000231360,Eudicots-Rosids,Malpighiales,Salicaceae,Bivinia,Bivinia jalbertii Tul. ,,shrub;tree,,,,,,
Homalium albiflorum,K000231485,Eudicots-Rosids,Malpighiales,Salicaceae,Homalium,Homalium albiflorum (Boivin ex Tul.) O. Hoffm. ,,tree,,,,,,
Homalium albiflorum,K000231487,Eudicots-Rosids,Malpighiales,Salicaceae,Homalium,Homalium albiflorum (Boivin ex Tul.) O. Hoffm. ,,tree,,,,,,
Homalium albiflorum,K000231488,Eudicots-Rosids,Malpighiales,Salicaceae,Homalium,Homalium albiflorum (Boivin ex Tul.) O. Hoffm. ,,tree,,,,,,
Homalium albiflorum,K000231488a,Eudicots-Rosids,Malpighiales,Salicaceae,Homalium,Homalium albiflorum (Boivin ex Tul.) O. Hoffm. ,,tree,,,,,,
Mimosa nossibiensis,K000232385,Eudicots-Rosids,Fabales,Fabaceae,Mimosa,Mimosa nossibiensis Benth. ,,climber,,,,,,
Hyalocalyx setifer,K000232722,Eudicots-Rosids,Malpighiales,Salicaceae,Hyalocalyx,Hyalocalyx setifer Rolfe ,,herb,,,,,,
Noronhia tubulosa,K000233180,Eudicots-Asterids,Lamiales,Oleaceae,Noronhia,Noronhia tubulosa H. Perrier ,,shrub,,,,,,
Noronhia tubulosa,K000233181,Eudicots-Asterids,Lamiales,Oleaceae,Noronhia,Noronhia tubulosa H. Perrier ,,shrub,,,,,,
Noronhia alleizettei,K000233201,Eudicots-Asterids,Lamiales,Oleaceae,Noronhia,Noronhia alleizettei Dubard ,,shrub;tree,,,,,,
Noronhia alleizettei,K000233202,Eudicots-Asterids,Lamiales,Oleaceae,Noronhia,Noronhia alleizettei Dubard ,,shrub;tree,,,,,,
Noronhia alleizettei,K000233203,Eudicots-Asterids,Lamiales,Oleaceae,Noronhia,Noronhia alleizettei Dubard ,,shrub;tree,,,,,,
